SampleName,IsMalware(1=T),Malware_confidence,Benign_confidence
BackgroundActivatorDLL.dll,0.0,0.004086253118130569,0.9959137468818694
BamSettingsClient.dll,0.0,0.004070715299379284,0.9959292847006207
BdeSysprep.dll,0.0,0.003748009581153532,0.9962519904188465
BFE.DLL,0.0,0.007740128118216102,0.9922598718817839
BHQFlash.dll,0.0,0.008697502764689835,0.9913024972353102
BHSvcPlg.dll,0.0,0.004238314070367301,0.9957616859296327
BingConfigurationClient.dll,0.0,0.0040121890962376405,0.9959878109037623
BioCredProv.dll,0.0,0.005924190321004859,0.9940758096789951
BitsProxy.dll,0.0,0.004223469399110364,0.9957765306008897
BlackBlueSkinImages64.dll,0.0,0.008835781537316529,0.9911642184626834
BlackSkinImages64.dll,0.0,0.008674654245031901,0.9913253457549681
BluetoothDesktopHandlers.dll,0.0,0.004012203243513904,0.9959877967564861
BPAInst.dll,0.0,0.003734428250379553,0.9962655717496205
BridgeInterface.dll,0.0,0.008073073497582007,0.991926926502418
BrLogAPI.dll,0.0,0.011954945358575454,0.9880450546414246
BrowserSDKDLLShim.dll,0.0,0.004920205977602928,0.9950797940223971
BrUSBFrc.dll,0.0,0.005962387612178478,0.9940376123878215
BrUSBJpn.dll,0.0,0.005665947750759545,0.9943340522492404
BrUSBKor.dll,0.0,0.005622224645352253,0.9943777753546478
BtInstallDriver.dll,0.0,0.004479052448867746,0.9955209475511323
Bugcheck.dll,0.0,0.004049001049535705,0.9959509989504642
eappprxy.dll,0.0,0.003957608253479186,0.9960423917465208
eapsimextdesktop.dll,0.0,0.004955659612515016,0.995044340387485
eapsvc.dll,0.0,0.005586543533211273,0.9944134564667887
easinvoker.proxystub.dll,0.0,0.003755183902898959,0.996244816097101
ebcc1b6c6b7ed501890900003012c803.cfgmgr32.dll,0.0,0.005494706353146653,0.9945052936468534
eclipse_11301.dll,0.0,0.013242401240798592,0.9867575987592014
eclipse_1665.dll,0.0,0.07399586119951362,0.9260041388004864
