SampleName,IsMalware(1=T),Malware_confidence,Benign_confidence
BackgroundActivatorDLL.dll,0.0,0.01106724733107781,0.9889327526689222
BamSettingsClient.dll,0.0,0.005319870843251966,0.9946801291567481
BdeSysprep.dll,0.0,0.005117633446918654,0.9948823665530814
BFE.DLL,0.0,0.00762967056040161,0.9923703294395984
BHQFlash.dll,0.0,0.017370859250375202,0.9826291407496248
BHSvcPlg.dll,0.0,0.010003572945196099,0.989996427054804
BingConfigurationClient.dll,0.0,0.006573540412639366,0.9934264595873606
BioCredProv.dll,0.0,0.006557989668320754,0.9934420103316792
BitsProxy.dll,0.0,0.005140501800086197,0.9948594981999138
BlackBlueSkinImages64.dll,0.0,0.014059985078585835,0.9859400149214141
BlackSkinImages64.dll,0.0,0.014134011085802482,0.9858659889141975
BluetoothDesktopHandlers.dll,0.0,0.006584691461064331,0.9934153085389357
BPAInst.dll,0.0,0.005205389993929251,0.9947946100060707
BridgeInterface.dll,0.0,0.017797466249929433,0.9822025337500706
BrLogAPI.dll,0.0,0.02174000616436475,0.9782599938356352
BrowserSDKDLLShim.dll,0.0,0.009068246488163565,0.9909317535118365
BrUSBFrc.dll,0.0,0.015460758758647867,0.9845392412413522
BrUSBJpn.dll,0.0,0.015489616103821763,0.9845103838961783
BrUSBKor.dll,0.0,0.015414616819829453,0.9845853831801705
BtInstallDriver.dll,0.0,0.009948264334041846,0.9900517356659582
Bugcheck.dll,0.0,0.005778390011232539,0.9942216099887674
eappprxy.dll,0.0,0.0063882275830214426,0.9936117724169785
eapsimextdesktop.dll,0.0,0.005279772813442748,0.9947202271865573
eapsvc.dll,0.0,0.006595657555271253,0.9934043424447287
easinvoker.proxystub.dll,0.0,0.005112067870968199,0.9948879321290318
ebcc1b6c6b7ed501890900003012c803.cfgmgr32.dll,0.0,0.005236910076478298,0.9947630899235217
eclipse_11301.dll,0.0,0.02611207816334676,0.9738879218366533
eclipse_1665.dll,0.0,0.0816835295619787,0.9183164704380213
edit.dll,0.0,0.006651886005873703,0.9933481139941263
edputil.dll,0.0,0.005387255955573433,0.9946127440444266
efscore.dll,0.0,0.010361766957378183,0.9896382330426218
efslsaext.dll,0.0,0.0061023555858762,0.9938976444141238
ehshell.dll,0.0,0.014762334093588387,0.9852376659064116
embeddedmodesvc.dll,0.0,0.0049498765051923955,0.9950501234948076
encoding.xs.dll,0.0,0.00660116218413255,0.9933988378158675
epg.dll,0.0,0.00590099232143216,0.9940990076785678
esevss.dll,0.0,0.0053880576041780434,0.994611942395822
esscli.dll,0.0,0.007258144970018806,0.9927418550299812
evtatt.dll,0.0,0.006129952938071349,0.9938700470619286
execmodelproxy.dll,0.0,0.005578922736751413,0.9944210772632486
extendscript.dll,0.0,0.019469882104866595,0.9805301178951334
F12AppFrame2.dll,0.0,0.0069717823011668225,0.9930282176988332
F12Platform.dll,0.0,0.010337145230761069,0.989662854769239
F12Resources.dll,0.0,0.010826553583085468,0.9891734464169145
F1_leashw32.dll,0.0,0.005495793064604227,0.9945042069353958
F1_openssl_ssleay32f.dll,0.0,0.010362431420417413,0.9896375685795826
F32_98_ECMIni.dll,0.0,0.017339246767017983,0.982660753232982
F5000_hetm.dll,0.0,0.011307379918179924,0.9886926200818201
F5001_hetptn.dll,0.0,0.011822863789617645,0.9881771362103824
F64_1_openssl_ssleay32f.dll,0.0,0.007389177862470701,0.9926108221375293
F64_pcshll32.dll,0.0,0.007354203373230631,0.9926457966267693
F9692_hclas4dt.dll,0.0,0.011350966003546029,0.988649033996454
Faultrep.dll,0.0,0.01013074515525277,0.9898692548447472
FeatureSettingsOverride.dll,0.0,0.010083379326596212,0.9899166206734038
FileAssociation.dll,0.0,0.021293653963357046,0.978706346036643
File.dll,0.0,0.01064027133418724,0.9893597286658128
FileSyncFALWB.dll,0.0,0.02187494494910782,0.9781250550508922
FileSyncViews.dll,0.0,0.049605553532904426,0.9503944464670956
FileTracker.dll,0.0,0.01637061313214683,0.9836293868678532
FILTER_analyze_.dll,0.0,0.009719286197014365,0.9902807138029857
FilterModule.dll,0.0,0.008529962327527112,0.9914700376724729
FlashUtil_ActiveX.dll,0.0,0.04212998973336045,0.9578700102666395
